"Ouagadougou","Ouagadougou","12.3686","-1.5275","Burkina Faso","BF","BFA","Centre","primary","2453496","1854029208"
"Bobo-Dioulasso","Bobo-Dioulasso","11.1833","-4.2833","Burkina Faso","BF","BFA","Hauts-Bassins","admin","903887","1854348796"
"Koudougou","Koudougou","12.2500","-2.3667","Burkina Faso","BF","BFA","Centre-Ouest","admin","160207","1854839075"
"Ouahigouya","Ouahigouya","13.5833","-2.4167","Burkina Faso","BF","BFA","Nord","admin","124580","1854011699"
"Kaya","Kaya","13.0833","-1.0833","Burkina Faso","BF","BFA","Centre-Nord","admin","122949","1854170035"
"Banfora","Banfora","10.6308","-4.7589","Burkina Faso","BF","BFA","Cascades","admin","117200","1854763822"
"Fada Ngourma","Fada Ngourma","12.0500","0.3667","Burkina Faso","BF","BFA","Est","admin","73200","1854057074"
"Dédougou","Dedougou","12.4667","-3.4667","Burkina Faso","BF","BFA","Boucle du Mouhoun","admin","63617","1854743311"
"Tenkodogo","Tenkodogo","11.7833","-0.3667","Burkina Faso","BF","BFA","Centre-Est","admin","58600","1854646157"
"Dori","Dori","14.0500","0.0500","Burkina Faso","BF","BFA","Sahel","admin","46521","1854096946"
"Manga","Manga","11.6667","-1.0667","Burkina Faso","BF","BFA","Centre-Sud","admin","28612","1854485968"
"Ziniaré","Ziniare","12.5833","-1.3000","Burkina Faso","BF","BFA","Plateau-Central","admin","12703","1854052758"
"Gaoua","Gaoua","10.2992","-3.2508","Burkina Faso","BF","BFA","Sud-Ouest","admin","","1854285570"
"Pouytenga","Pouytenga","12.2500","-0.4333","Burkina Faso","BF","BFA","Centre-Est","","99950","1854151910"
"Houndé","Hounde","11.5000","-3.5167","Burkina Faso","BF","BFA","Hauts-Bassins","minor","87154","1854289245"
"Djibo","Djibo","14.1012","-1.6279","Burkina Faso","BF","BFA","Sahel","minor","61456","1854364299"
"Kongoussi","Kongoussi","13.3333","-1.5333","Burkina Faso","BF","BFA","Centre-Nord","minor","53641","1854493633"
"Titao","Titao","13.7667","-2.0736","Burkina Faso","BF","BFA","Nord","minor","48242","1854649320"
"Koupéla","Koupela","12.1794","-0.3517","Burkina Faso","BF","BFA","Centre-Est","minor","45900","1854841246"
"Garango","Garango","11.8047","-0.5489","Burkina Faso","BF","BFA","Centre-Est","","45150","1854695901"
"Gaoua","Gaoua","10.3167","-3.1667","Burkina Faso","BF","BFA","Sud-Ouest","","45189","1854142068"
"Gourcy","Gourcy","13.2063","-2.3586","Burkina Faso","BF","BFA","Nord","minor","40144","1854167073"
"Yako","Yako","12.9667","-2.2667","Burkina Faso","BF","BFA","Nord","minor","38689","1854815200"
"Zorgo","Zorgo","12.2500","-0.6167","Burkina Faso","BF","BFA","Plateau-Central","minor","35406","1854077108"
"Réo","Reo","12.3167","-2.4667","Burkina Faso","BF","BFA","Centre-Ouest","minor","33893","1854684997"
"Léo","Leo","11.1000","-2.1000","Burkina Faso","BF","BFA","Centre-Ouest","minor","33717","1854225723"
"Niangoloko","Niangoloko","10.2833","-4.9167","Burkina Faso","BF","BFA","Cascades","","33500","1854857887"
"Kombissiri","Kombissiri","12.0667","-1.3333","Burkina Faso","BF","BFA","Centre-Sud","minor","30137","1854637161"
"Nouna","Nouna","12.7329","-3.8622","Burkina Faso","BF","BFA","Boucle du Mouhoun","minor","29048","1854190171"
"Diapaga","Diapaga","12.0667","1.7833","Burkina Faso","BF","BFA","Est","minor","26013","1854687079"
"Orodara","Orodara","10.9740","-4.9080","Burkina Faso","BF","BFA","Hauts-Bassins","minor","18632","1854111637"
"Pô","Po","11.1667","-1.1500","Burkina Faso","BF","BFA","Centre-Sud","minor","17924","1854979912"
"Tougan","Tougan","13.0667","-3.0667","Burkina Faso","BF","BFA","Boucle du Mouhoun","minor","17590","1854407539"
"Boulsa","Boulsa","12.6667","-0.5833","Burkina Faso","BF","BFA","Centre-Nord","minor","17489","1854535753"
"Diébougou","Diebougou","10.9667","-3.2500","Burkina Faso","BF","BFA","Sud-Ouest","minor","12732","1854858995"
"Salanso","Salanso","12.1833","-4.0833","Burkina Faso","BF","BFA","Boucle du Mouhoun","minor","10385","1854892822"
"Bogandé","Bogande","12.9714","-0.1436","Burkina Faso","BF","BFA","Est","minor","9854","1854811035"
"Gorom-Gorom","Gorom-Gorom","14.4446","-0.2345","Burkina Faso","BF","BFA","Sahel","minor","6691","1854609702"
"Sapouy","Sapouy","11.5478","-1.7750","Burkina Faso","BF","BFA","Centre-Ouest","minor","3837","1854971695"
"Sebba","Sebba","13.4392","0.5289","Burkina Faso","BF","BFA","Sahel","minor","3273","1854960093"
