"Tallinn","Tallinn","59.4372","24.7450","Estonia","EE","EST","Harjumaa","primary","438341","1233260021"
"Tartu","Tartu","58.3800","26.7225","Estonia","EE","EST","Tartumaa","admin","91407","1233809410"
"Pärnu","Parnu","58.3844","24.4989","Estonia","EE","EST","Pärnumaa","admin","39438","1233955054"
"Viljandi","Viljandi","58.3633","25.5956","Estonia","EE","EST","Viljandimaa","admin","16875","1233067368"
"Rakvere","Rakvere","59.3506","26.3611","Estonia","EE","EST","Lääne-Virumaa","admin","14984","1233049348"
"Kuressaare","Kuressaare","58.2533","22.4861","Estonia","EE","EST","Saaremaa","admin","13097","1233341219"
"Valga","Valga","57.7769","26.0311","Estonia","EE","EST","Valgamaa","admin","12182","1233406308"
"Võru","Voru","57.8486","26.9928","Estonia","EE","EST","Võrumaa","admin","11533","1233754374"
"Jõhvi","Johvi","59.3575","27.4122","Estonia","EE","EST","Ida-Virumaa","admin","10541","1233731045"
"Haapsalu","Haapsalu","58.9469","23.5369","Estonia","EE","EST","Läänemaa","admin","9675","1233967642"
"Paide","Paide","58.8833","25.5667","Estonia","EE","EST","Järvamaa","admin","7905","1233393684"
"Jõgeva","Jogeva","58.7461","26.3956","Estonia","EE","EST","Jõgevamaa","admin","5073","1233192849"
"Põlva","Polva","58.0536","27.0556","Estonia","EE","EST","Põlvamaa","admin","5324","1233866730"
"Rapla","Rapla","58.9944","24.8011","Estonia","EE","EST","Raplamaa","admin","5069","1233013333"
"Kärdla","Kardla","58.9944","22.7500","Estonia","EE","EST","Hiiumaa","admin","3230","1233977488"
"Narva","Narva","59.3792","28.2006","Estonia","EE","EST","Ida-Virumaa","minor","53424","1233751159"
"Kohtla-Järve","Kohtla-Jarve","59.4000","27.2833","Estonia","EE","EST","Ida-Virumaa","minor","32577","1233016348"
"Maardu","Maardu","59.4781","25.0161","Estonia","EE","EST","Harjumaa","minor","15284","1233565021"
"Sillamäe","Sillamae","59.3931","27.7742","Estonia","EE","EST","Ida-Virumaa","minor","12230","1233128320"
"Keila","Keila","59.3086","24.4225","Estonia","EE","EST","Harjumaa","minor","10078","1233230839"
"Saue","Saue","59.3231","24.5622","Estonia","EE","EST","Harjumaa","minor","5631","1233555053"
"Elva","Elva","58.2275","26.4158","Estonia","EE","EST","Tartumaa","minor","5669","1233576584"
"Tapa","Tapa","59.2644","25.9628","Estonia","EE","EST","Lääne-Virumaa","minor","5706","1233432173"
"Kiviõli","Kivioli","59.3517","26.9611","Estonia","EE","EST","Ida-Virumaa","minor","5504","1233298951"
"Türi","Turi","58.8094","25.4292","Estonia","EE","EST","Järvamaa","minor","5257","1233742654"
