"Malabo","Malabo","3.7521","8.7737","Equatorial Guinea","GQ","GNQ","Bioko Norte","primary","187302","1226861333"
"Bata","Bata","1.8650","9.7700","Equatorial Guinea","GQ","GNQ","Litoral","admin","250770","1226528087"
"Ebebiyín","Ebebiyin","2.1500","11.3167","Equatorial Guinea","GQ","GNQ","Kié-Ntem","admin","36565","1226449195"
"Evinayong","Evinayong","1.4500","10.5667","Equatorial Guinea","GQ","GNQ","Centro Sur","admin","9155","1226336138"
"Luba","Luba","3.4500","8.5500","Equatorial Guinea","GQ","GNQ","Bioko Sur","admin","7739","1226278217"
"Mongomo","Mongomo","1.6287","11.3168","Equatorial Guinea","GQ","GNQ","Wele-Nzas","admin","7251","1226565454"
"Palé","Pale","-1.4043","5.6322","Equatorial Guinea","GQ","GNQ","Annobón","admin","5008","1226970205"
"Djibloho","Djibloho","1.5917","10.8222","Equatorial Guinea","GQ","GNQ","Centro Sur","admin","","1226998379"
"Añisoc","Anisoc","1.8656","10.7689","Equatorial Guinea","GQ","GNQ","Wele-Nzas","","16626","1226309663"
"Bengonbeyene","Bengonbeyene","1.6931","11.0342","Equatorial Guinea","GQ","GNQ","Wele-Nzas","","15644","1226996248"
"Aconibe","Aconibe","1.3000","10.9333","Equatorial Guinea","GQ","GNQ","Wele-Nzas","","13382","1226173790"
"Rebola","Rebola","3.7192","8.8531","Equatorial Guinea","GQ","GNQ","Bioko Norte","","10000","1226355446"
"Mikomeseng","Mikomeseng","2.1333","10.6167","Equatorial Guinea","GQ","GNQ","Kié-Ntem","","5813","1226529757"
"Calatrava","Calatrava","1.1164","9.4186","Equatorial Guinea","GQ","GNQ","Litoral","","628","1226322426"
