"Tripoli","Tripoli","32.8752","13.1875","Libya","LY","LBY","Ţarābulus","primary","1126000","1434201852"
"Benghazi","Benghazi","32.1167","20.0667","Libya","LY","LBY","Banghāzī","admin","631555","1434915572"
"Mişrātah","Misratah","32.3778","15.0901","Libya","LY","LBY","Mişrātah","admin","259056","1434518407"
"Al Bayḑā'","Al Bayda'","32.7628","21.7550","Libya","LY","LBY","Al Jabal al Akhḑar","admin","250000","1434263017"
"Al Khums","Al Khums","32.6604","14.2600","Libya","LY","LBY","Al Marqab","","201943","1434172839"
"Az Zāwīyah","Az Zawiyah","32.7604","12.7200","Libya","LY","LBY","Az Zāwiyah","admin","200000","1434421178"
"Gharyān","Gharyan","32.1669","13.0167","Libya","LY","LBY","Al Jabal al Gharbī","admin","187854","1434507846"
"Al Marj","Al Marj","32.5005","20.8300","Libya","LY","LBY","Al Marj","admin","169540","1434742923"
"Ajdābiyā","Ajdabiya","30.7700","20.2200","Libya","LY","LBY","Al Wāḩāt","admin","143833","1434401280"
"Tobruk","Tobruk","32.0833","23.9500","Libya","LY","LBY","Al Buţnān","admin","135832","1434068493"
"Darnah","Darnah","32.7648","22.6391","Libya","LY","LBY","Darnah","admin","127974","1434920152"
"Sabhā","Sabha","27.0333","14.4333","Libya","LY","LBY","Sabhā","admin","116016","1434044820"
"Şabrātah","Sabratah","32.7933","12.4885","Libya","LY","LBY","An Nuqāţ al Khams","","102038","1434908655"
"Zuwārah","Zuwarah","32.9333","12.0833","Libya","LY","LBY","An Nuqāţ al Khams","admin","80310","1434206265"
"Surt","Surt","31.2000","16.6000","Libya","LY","LBY","Surt","admin","76788","1434563640"
"Nālūt","Nalut","31.8804","10.9700","Libya","LY","LBY","Nālūt","admin","66609","1434550258"
"Murzuq","Murzuq","25.9136","13.9336","Libya","LY","LBY","Murzuq","admin","43732","1434910333"
"Al Jawf","Al Jawf","24.2167","23.3000","Libya","LY","LBY","Al Kufrah","admin","24132","1434996940"
"Ghāt","Ghat","24.9611","10.1750","Libya","LY","LBY","Ghāt","admin","22000","1434971028"
"Hūn","Hun","29.1167","15.9333","Libya","LY","LBY","Al Jufrah","admin","18878","1434396501"
"Al ‘Azīzīyah","Al `Aziziyah","32.5319","13.0175","Libya","LY","LBY","Al Jafārah","admin","","1434450111"
"Awbārī","Awbari","26.5833","12.7667","Libya","LY","LBY","Wādī al Ḩayāt","admin","","1434431378"
"Idrī","Idri","27.4471","13.0517","Libya","LY","LBY","Wādī ash Shāţi'","admin","","1434443323"
"Yafran","Yafran","32.0628","12.5267","Libya","LY","LBY","Al Jabal al Gharbī","","72662","1434967497"
"Banī Walīd","Bani Walid","31.7455","13.9835","Libya","LY","LBY","Mişrātah","","50824","1434398590"
"Tājūrā'","Tajura'","32.8819","13.3400","Libya","LY","LBY","Ţarābulus","","48836","1434120461"
"Birāk","Birak","27.5333","14.2834","Libya","LY","LBY","Wādī ash Shāţi'","","45421","1434095842"
"Shaḩḩāt","Shahhat","32.8167","21.8500","Libya","LY","LBY","Al Jabal al Akhḑar","","45000","1434402597"
"Mizdah","Mizdah","31.4337","12.9833","Libya","LY","LBY","Al Jabal al Gharbī","","26107","1434622990"
"Ghadāmis","Ghadamis","30.1333","9.5000","Libya","LY","LBY","Nālūt","","6623","1434013321"
"Awjilah","Awjilah","29.1081","21.2869","Libya","LY","LBY","Al Wāḩāt","","6610","1434938770"
"Qamīnis","Qaminis","31.6572","20.0144","Libya","LY","LBY","Banghāzī","","5348","1434752325"
"Tajarhī","Tajarhi","24.2622","14.5603","Libya","LY","LBY","Murzuq","","1500","1434443909"
"Al ‘Uqaylah","Al `Uqaylah","30.2558","19.1994","Libya","LY","LBY","Al Wāḩāt","","100","1434822941"
"Marādah","Maradah","29.2337","19.2166","Libya","LY","LBY","Al Wāḩāt","","2500","1434000794"
"Al Jaghbūb","Al Jaghbub","29.7504","24.5166","Libya","LY","LBY","Al Buţnān","","1744","1434128425"
"Daraj","Daraj","30.1500","10.4500","Libya","LY","LBY","Nālūt","","931","1434822177"
"Tmassah","Tmassah","26.3666","15.8000","Libya","LY","LBY","Murzuq","","500","1434333715"
"Umm al ‘Abīd","Umm al `Abid","27.5170","15.0333","Libya","LY","LBY","Wādī ash Shāţi'","","300","1434373121"
"As Sidrah","As Sidrah","30.6704","18.2666","Libya","LY","LBY","Surt","","50","1434673703"
"Zillah","Zillah","28.5504","17.5834","Libya","LY","LBY","Al Jufrah","","10","1434245699"
