"Antananarivo","Antananarivo","-18.9386","47.5214","Madagascar","MG","MDG","Antananarivo","primary","2610000","1450978461"
"Antsirabe","Antsirabe","-19.8667","47.0333","Madagascar","MG","MDG","Antananarivo","minor","257163","1450791699"
"Toamasina","Toamasina","-18.1492","49.4023","Madagascar","MG","MDG","Toamasina","admin","225116","1450540529"
"Fianarantsoa","Fianarantsoa","-21.4333","47.0833","Madagascar","MG","MDG","Fianarantsoa","admin","184184","1450070223"
"Mahajanga","Mahajanga","-15.6700","46.3450","Madagascar","MG","MDG","Mahajanga","admin","154657","1450421961"
"Toliara","Toliara","-23.3500","43.6667","Madagascar","MG","MDG","Toliara","admin","115319","1450593748"
"Antsiranana","Antsiranana","-12.2765","49.3115","Madagascar","MG","MDG","Antsiranana","admin","82937","1450106928"
"Farafangana","Farafangana","-22.8166","47.8332","Madagascar","MG","MDG","Fianarantsoa","minor","24764","1450306255"
"Tôlan̈aro","Tolanaro","-25.0325","46.9833","Madagascar","MG","MDG","Toliara","minor","67284","1450217836"
"Antalaha","Antalaha","-14.8833","50.2833","Madagascar","MG","MDG","Antsiranana","","47224","1450649394"
"Sambava","Sambava","-14.2662","50.1666","Madagascar","MG","MDG","Antsiranana","minor","43465","1450004590"
"Ambatondrazaka","Ambatondrazaka","-17.8329","48.4167","Madagascar","MG","MDG","Toamasina","minor","43134","1450068349"
"Maroantsetra","Maroantsetra","-15.4333","49.7333","Madagascar","MG","MDG","Toamasina","","38046","1450485257"
"Morondava","Morondava","-20.2833","44.2833","Madagascar","MG","MDG","Toliara","minor","36803","1450721607"
"Marovoay","Marovoay","-16.0995","46.6333","Madagascar","MG","MDG","Mahajanga","","31253","1450283819"
"Ambanja","Ambanja","-13.6786","48.4522","Madagascar","MG","MDG","Antsiranana","","30621","1450987919"
"Mananjary","Mananjary","-21.2167","48.3333","Madagascar","MG","MDG","Fianarantsoa","","27686","1450681595"
"Andoany","Andoany","-13.4000","48.2666","Madagascar","MG","MDG","Antsiranana","","22680","1450689047"
"Antsohihy","Antsohihy","-14.8661","47.9834","Madagascar","MG","MDG","Mahajanga","minor","21290","1450240411"
"Miandrivazo","Miandrivazo","-19.5162","45.4666","Madagascar","MG","MDG","Toliara","","20631","1450332104"
"Ihosy","Ihosy","-22.3996","46.1167","Madagascar","MG","MDG","Fianarantsoa","minor","16990","1450600411"
"Morombe","Morombe","-21.7391","43.3657","Madagascar","MG","MDG","Toliara","","16727","1450018559"
"Iharan̈a","Iharana","-13.3750","50.0100","Madagascar","MG","MDG","Antsiranana","","15000","1450849551"
"Maintirano","Maintirano","-18.0666","44.0167","Madagascar","MG","MDG","Mahajanga","minor","5925","1450625023"
"Mandritsara","Mandritsara","-15.8328","48.8166","Madagascar","MG","MDG","Mahajanga","","9705","1450981137"
"Bekily","Bekily","-24.2162","45.3166","Madagascar","MG","MDG","Toliara","","4286","1450655091"
"Manja","Manja","-21.4329","44.3333","Madagascar","MG","MDG","Toliara","","1536","1450949899"
"Besalampy","Besalampy","-16.7495","44.4833","Madagascar","MG","MDG","Mahajanga","","1022","1450740445"
"Androka","Androka","-25.0219","44.0749","Madagascar","MG","MDG","Toliara","","174","1450495720"
