"Nouakchott","Nouakchott","18.0858","-15.9785","Mauritania","MR","MRT","","primary","1077169","1478414984"
"Néma","Nema","16.6171","-7.2500","Mauritania","MR","MRT","Hodh ech Chargui","admin","200000","1478009046"
"Nouadhibou","Nouadhibou","20.9500","-17.0333","Mauritania","MR","MRT","Dakhlet Nouadhibou","admin","118000","1478176283"
"Kiffa","Kiffa","16.6164","-11.4044","Mauritania","MR","MRT","Assaba","admin","110714","1478465771"
"Zouerate","Zouerate","22.7344","-12.4725","Mauritania","MR","MRT","Tiris Zemmour","admin","56345","1478799785"
"Rosso","Rosso","16.5128","-15.8050","Mauritania","MR","MRT","Trarza","admin","47203","1478524903"
"Atar","Atar","20.5167","-13.0500","Mauritania","MR","MRT","Adrar","admin","24021","1478064510"
"Tidjikja","Tidjikja","18.5500","-11.4166","Mauritania","MR","MRT","Tagant","admin","19981","1478594780"
"Arafat","Arafat","18.0583","-15.9621","Mauritania","MR","MRT","Nouakchott Sud","admin","","1478174698"
"Aleg","Aleg","17.0580","-13.9090","Mauritania","MR","MRT","Brakna","admin","8388","1478173139"
"Tevragh Zeina","Tevragh Zeina","18.0989","-15.9885","Mauritania","MR","MRT","Nouakchott Ouest","admin","","1478902195"
"Dar Naim","Dar Naim","18.0973","-15.9327","Mauritania","MR","MRT","Nouakchott Nord","admin","","1478696248"
"Aioun","Aioun","16.6667","-9.6167","Mauritania","MR","MRT","Hodh el Gharbi","admin","1423","1478255260"
"Sélibaby","Selibaby","15.1670","-12.1833","Mauritania","MR","MRT","Guidimaka","admin","460","1478575433"
"Akjoujt","Akjoujt","19.7470","-14.3910","Mauritania","MR","MRT","Inchiri","admin","370","1478247793"
"Kaédi","Kaedi","16.1503","-13.5037","Mauritania","MR","MRT","Gorgol","admin","","1478607377"
"Boutilimit","Boutilimit","17.5504","-14.7000","Mauritania","MR","MRT","Trarza","","14142","1478235368"
"Bogué","Bogue","16.5904","-14.2700","Mauritania","MR","MRT","Brakna","","10415","1478095096"
"Timbedgha","Timbedgha","16.2447","-8.1675","Mauritania","MR","MRT","Hodh ech Chargui","","245","1478847634"
"Chegga","Chegga","25.3719","-5.7867","Mauritania","MR","MRT","Tiris Zemmour","","10","1478632134"
"Fdérik","Fderik","22.6790","-12.7070","Mauritania","MR","MRT","Tiris Zemmour","","5760","1478557883"
"Bîr Mogreïn","Bir Mogrein","25.2333","-11.5833","Mauritania","MR","MRT","Tiris Zemmour","","10","1478537499"
