"Kuala Lumpur","Kuala Lumpur","3.1478","101.6953","Malaysia","MY","MYS","Kuala Lumpur","primary","8639000","1458988644"
"Klang","Klang","3.0333","101.4500","Malaysia","MY","MYS","Selangor","","878000","1458509635"
"Ipoh","Ipoh","4.6000","101.0700","Malaysia","MY","MYS","Perak","admin","866772","1458423505"
"Butterworth","Butterworth","5.3992","100.3639","Malaysia","MY","MYS","Pulau Pinang","","821652","1458469233"
"George Town","George Town","5.4145","100.3292","Malaysia","MY","MYS","Pulau Pinang","admin","708127","1458236750"
"Petaling Jaya","Petaling Jaya","3.1073","101.6067","Malaysia","MY","MYS","Selangor","","638516","1458989343"
"Kuantan","Kuantan","3.8167","103.3333","Malaysia","MY","MYS","Pahang","admin","607778","1458763489"
"Shah Alam","Shah Alam","3.0833","101.5333","Malaysia","MY","MYS","Selangor","admin","584340","1458194263"
"Johor Bahru","Johor Bahru","1.4556","103.7611","Malaysia","MY","MYS","Johor","admin","497097","1458747615"
"Kota Bharu","Kota Bharu","6.1333","102.2500","Malaysia","MY","MYS","Kelantan","admin","491237","1458150101"
"Melaka","Melaka","2.1889","102.2511","Malaysia","MY","MYS","Melaka","admin","455300","1458467506"
"Kota Kinabalu","Kota Kinabalu","5.9750","116.0725","Malaysia","MY","MYS","Sabah","admin","452058","1458441859"
"Seremban","Seremban","2.7297","101.9381","Malaysia","MY","MYS","Negeri Sembilan","admin","419536","1458051507"
"Sandakan","Sandakan","5.8388","118.1173","Malaysia","MY","MYS","Sabah","","396290","1458405180"
"Sungai Petani","Sungai Petani","5.6500","100.4800","Malaysia","MY","MYS","Kedah","","358499","1458639918"
"Kuching","Kuching","1.5397","110.3542","Malaysia","MY","MYS","Sarawak","admin","325132","1458462262"
"Kuala Terengganu","Kuala Terengganu","5.3303","103.1408","Malaysia","MY","MYS","Terengganu","admin","255109","1458475563"
"Sibu","Sibu","2.3000","111.8167","Malaysia","MY","MYS","Sarawak","","247995","1458970454"
"Taiping","Taiping","4.8500","100.7333","Malaysia","MY","MYS","Perak","","237095","1458446120"
"Miri","Miri","4.4028","113.9933","Malaysia","MY","MYS","Sarawak","","234541","1458079883"
"Alor Setar","Alor Setar","6.1167","100.3667","Malaysia","MY","MYS","Kedah","admin","217000","1458273978"
"Bukit Mertajam","Bukit Mertajam","5.3631","100.4667","Malaysia","MY","MYS","Pulau Pinang","","210000","1458619046"
"Lahad Datu","Lahad Datu","5.0300","118.3400","Malaysia","MY","MYS","Sabah","","199830","1458472057"
"Muar","Muar","2.0500","102.5600","Malaysia","MY","MYS","Johor","","191346","1458170112"
"Kluang","Kluang","2.0336","103.3194","Malaysia","MY","MYS","Johor","","169828","1458692921"
"Batu Pahat","Batu Pahat","1.8500","102.9300","Malaysia","MY","MYS","Johor","","140000","1458310769"
"Bintulu","Bintulu","3.1700","113.0300","Malaysia","MY","MYS","Sarawak","","114058","1458164361"
"Tawau","Tawau","4.2448","117.8911","Malaysia","MY","MYS","Sabah","","113809","1458745722"
"Teluk Intan","Teluk Intan","4.0259","101.0213","Malaysia","MY","MYS","Perak","","101659","1458126062"
"Putrajaya","Putrajaya","2.9300","101.6900","Malaysia","MY","MYS","Putrajaya","admin","67964","1458000206"
"Kangar","Kangar","6.4333","100.2000","Malaysia","MY","MYS","Perlis","admin","48898","1458939333"
"Labuan","Labuan","5.2803","115.2475","Malaysia","MY","MYS","Labuan","admin","","1458460967"
"Cukai","Cukai","4.2332","103.4479","Malaysia","MY","MYS","Terengganu","","82425","1458033606"
"Raub","Raub","3.7931","101.8569","Malaysia","MY","MYS","Pahang","","40024","1458881822"
"Kuala Lipis","Kuala Lipis","4.1840","102.0420","Malaysia","MY","MYS","Pahang","","15448","1458124212"
