"Khartoum","Khartoum","15.6031","32.5265","Sudan","SD","SDN","Khartoum","primary","6017000","1729268475"
"Omdurman","Omdurman","15.6167","32.4800","Sudan","SD","SDN","Khartoum","","2395159","1729912179"
"Khartoum North","Khartoum North","15.6333","32.6333","Sudan","SD","SDN","Khartoum","","936349","1729318628"
"Port Sudan","Port Sudan","19.6158","37.2164","Sudan","SD","SDN","Red Sea","admin","579942","1729710259"
"Kassala","Kassala","15.4500","36.4000","Sudan","SD","SDN","Kassala","admin","536009","1729157224"
"Nyala","Nyala","12.0500","24.8833","Sudan","SD","SDN","South Darfur","admin","492984","1729833248"
"El Obeid","El Obeid","13.1833","30.2167","Sudan","SD","SDN","North Kordofan","admin","418280","1729215531"
"Gedaref","Gedaref","14.0333","35.3833","Sudan","SD","SDN","Al Gedaref","admin","354927","1729215057"
"Kūstī","Kusti","13.1700","32.6600","Sudan","SD","SDN","White Nile","","345068","1729229371"
"Wad Medani","Wad Medani","14.4000","33.5100","Sudan","SD","SDN","Al Gazira","admin","332714","1729581572"
"El Fasher","El Fasher","13.6300","25.3500","Sudan","SD","SDN","North Darfur","admin","252609","1729372385"
"Kurmuk","Kurmuk","10.5563","34.2848","Sudan","SD","SDN","Blue Nile","","250000","1729180375"
"Shendi","Shendi","16.6805","33.4200","Sudan","SD","SDN","River Nile","","186611","1729244380"
"Ed Damazin","Ed Damazin","11.7704","34.3500","Sudan","SD","SDN","Blue Nile","admin","186051","1729684147"
"Kadugli","Kadugli","11.0100","29.7000","Sudan","SD","SDN","South Kordofan","admin","176931","1729757472"
"El Geneina","El Geneina","13.4500","22.4400","Sudan","SD","SDN","West Darfur","admin","162981","1729642412"
"Al Manāqil","Al Manaqil","14.2504","32.9800","Sudan","SD","SDN","Al Gazira","","151827","1729742500"
"Atbara","Atbara","17.7167","33.9833","Sudan","SD","SDN","River Nile","","139768","1729042522"
"Sannār","Sannar","13.5500","33.6000","Sudan","SD","SDN","Sennar","","130122","1729986512"
"An Nuhūd","An Nuhud","12.6904","28.4200","Sudan","SD","SDN","Western Kordofan","","108008","1729223651"
"EdDamer","EdDamer","17.5900","33.9600","Sudan","SD","SDN","River Nile","admin","103941","1729791168"
"Dongola","Dongola","19.1666","30.4833","Sudan","SD","SDN","Northern","admin","26404","1729300155"
"Rabak","Rabak","13.1880","32.7437","Sudan","SD","SDN","White Nile","admin","","1729452233"
"Singa","Singa","13.1483","33.9311","Sudan","SD","SDN","Sennar","admin","","1729951108"
"Ed Daein","Ed Daein","11.4672","26.1317","Sudan","SD","SDN","East Darfur","admin","","1729512354"
"Zalingei","Zalingei","12.9092","23.4706","Sudan","SD","SDN","Central Darfur","admin","","1729805075"
"El Fula","El Fula","11.7120","28.3462","Sudan","SD","SDN","Western Kordofan","admin","","1729946051"
"Ad Diwem","Ad Diwem","13.9904","32.3000","Sudan","SD","SDN","White Nile","","87068","1729364292"
"Tokār","Tokar","18.4333","37.7333","Sudan","SD","SDN","Red Sea","","73202","1729512860"
"Umm Ruwaba","Umm Ruwaba","12.9058","31.2156","Sudan","SD","SDN","North Kordofan","","55742","1729566926"
"Abū Ḩamad","Abu Hamad","19.5370","33.3260","Sudan","SD","SDN","River Nile","","50000","1729554381"
"Berber","Berber","18.0170","33.9833","Sudan","SD","SDN","River Nile","","49556","1729960469"
"Sawākin","Sawakin","19.1025","37.3300","Sudan","SD","SDN","Red Sea","","43337","1729959085"
"Haya","Haya","18.3461","36.3969","Sudan","SD","SDN","Red Sea","","20000","1729440799"
"Al Mijlad","Al Mijlad","11.0337","27.7333","Sudan","SD","SDN","Western Kordofan","","19997","1729768355"
"Babanūsah","Babanusah","11.3334","27.8000","Sudan","SD","SDN","Western Kordofan","","19700","1729601692"
"Wādī Ḩalfā'","Wadi Halfa'","21.8000","31.3500","Sudan","SD","SDN","Northern","","17121","1729435342"
"Marawī","Marawi","18.4833","31.8167","Sudan","SD","SDN","Northern","","10234","1729782394"
"Karmah an Nuzul","Karmah an Nuzul","19.6008","30.4097","Sudan","SD","SDN","Northern","","3928","1729918529"
